candidate_id,pairing,triage_level,triage_name,cdr_repairs,framework_repairs,total_score,tier1_score,error,flag_sequence_sanity,flag_cysteine_pairing,flag_n_glycosylation,flag_ptm_liability,flag_v_domain_integrity,flag_poly_residue_run,flag_aggregation,flag_charge,flag_humanness,flag_disulfide_pairing,flag_immunogenicity,flag_immunogenicity_observed,flag_tap_cdr_length,flag_tap_psh,flag_tap_ppc,flag_tap_pnc,flag_tap_sfvcsp,model_conf_max,model_conf_mean,vh_germline_identity,tap_total,tap_hydrophobic,tap_positive,tap_negative,tap_sfvcsp,tap_flag_total,tap_flag_hydrophobic,tap_flag_positive,tap_flag_negative,tap_flag_sfvcsp,tap_weight,n_immuno_cdr,n_immuno_framework,n_immuno_observed,immuno_weight,n_predicted_binders,n_dropped_germline,vh_v_gene,vl_v_gene,structure_available,immunogenicity_available
Urtoxazumab,TheraSAbDab,1,Ready,0,5,21.25,21.249,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9082,46.0,152.044,0.0,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,0.0,,,IGHV3-7*01,IGKV3-11*01,1,1
Zamubafusp,TheraSAbDab,2,Rework,2,2,35.54,33.536,,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,,,0.8247,43.0,168.22,0.149,0.0,0.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,1,1,0.0,,,IGHV4-4*08,IGKV2-30*01,1,1
Brenetafusp,TheraSAbDab,3,Immune risk,0,0,33.45,33.455,,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,,0.7551,49.0,185.358,0.504,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,0.0,,,IGHV3-23*04,IGKV1D-7-1*01,1,1
Englumafusp,TheraSAbDab,2,Rework,1,5,25.34,23.34,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,,0.8878,53.0,161.224,1.499,0.671,2.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,2,0,0,0.0,,,IGHV1-2*02,IGKV2-29*02,1,1
Latikafusp,TheraSAbDab,2,Rework,1,6,23.78,21.776,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,,0.9082,50.0,179.026,1.26,0.119,2.2,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,3,1,0,0.0,,,IGHV3-20*04,IGLV3-10*01,1,1
Velinotamig,TheraSAbDab,2,Rework,2,7,40.96,38.962,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,,,0.949,45.0,159.287,1.216,0.0,28.4,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,3,0,0,0.0,,,IGHV3-33*01,IGKV1-39*01,1,1
Narsoplimab,TheraSAbDab,2,Rework,2,6,32.98,30.98,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,,,0.93,45.0,174.439,2.066,0.04,0.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,2,0,0,0.0,,,IGHV2-26*01,IGLV3-1*01,1,1
Atinumab,TheraSAbDab,2,Rework,1,4,29.48,27.476,,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,0.9286,41.0,148.632,0.0,0.135,4.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,1,0,0.0,,,IGHV3-7*01,IGKV3-11*01,1,1
Lumistobart,TheraSAbDab,2,Rework,1,2,26.22,26.218,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9293,51.0,191.611,0.069,0.063,6.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,0.0,,,IGHV4-31*02,IGKV4-1*01,1,1
Bulumtatug,TheraSAbDab,3,Immune risk,0,0,41.83,41.833,,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,,,0.7835,52.0,176.55,0.105,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV4-4*08,IGKV4-1*01,1,1
Pamrevlumab,TheraSAbDab,4,Hold,0,0,47.29,47.285,,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,,,0.8557,47.0,156.582,0.0,0.0,2.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,0.0,,,IGHV3-13*06,IGKV1D-16*01,1,1
Ansipastobart,TheraSAbDab,2,Rework,1,5,29.71,29.712,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9388,48.0,187.097,0.058,0.057,3.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV3-23*01,IGLV1-44*01,1,1
Aldastotug,TheraSAbDab,2,Rework,1,4,24.63,24.633,,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9592,47.0,158.375,0.0,0.424,2.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,0,0.0,,,IGHV5-10-1*01,IGKV3-20*01,1,1
Umikibart,TheraSAbDab,1,Ready,0,7,24.89,24.891,,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,,,0.898,44.0,189.87,0.157,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,1,0.0,,,IGHV3-23*04,IGKV1D-7-1*01,1,1
Disitamab,TheraSAbDab,2,Rework,1,3,26.6,24.602,,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,0.8265,40.0,153.047,0.171,0.0,3.72,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,3,1,0,0.0,,,IGHV1-69-2*01,IGKV1-12*01,1,1
Reflocibart,TheraSAbDab,2,Rework,2,4,27.47,27.471,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.8878,47.0,157.033,0.303,0.0,21.7,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,0,0.0,,,IGHV1-2*02,IGKV1-39*01,1,1
Omoprubart,TheraSAbDab,3,Immune risk,0,0,30.79,30.791,,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,,0.8571,49.0,156.557,0.007,0.132,0.32,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,2,0,0.0,,,IGHV1-2*02,IGKV1-33*01,1,1
Cosibelimab,TheraSAbDab,3,Immune risk,0,0,32.44,28.437,,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,,,0.9388,51.0,135.321,0.325,0.0,-5.4,GREEN,AMBER,GREEN,GREEN,AMBER,4.0,1,0,0,0.0,,,IGHV1-69*01,IGLV6-57*03,1,1
Vilastobart,TheraSAbDab,3,Immune risk,0,0,31.97,31.972,,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,,0.8469,45.0,160.629,0.0,0.464,-2.7,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV1-69*02,IGKV6-21*01,1,1
Emfizatamab1_2,TheraSAbDab,2,Rework,3,2,37.32,37.32,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.949,48.0,187.837,0.292,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,0.0,,,IGHV5-51*01,IGKV1-13*02,1,1
Intetumumab,TheraSAbDab,2,Rework,1,5,25.98,25.978,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9184,47.0,160.644,0.04,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,2,0,0.0,,,IGHV3-30*01,IGKV3-11*01,1,1
Pamvatamig,TheraSAbDab,2,Rework,1,3,19.86,19.863,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9592,50.0,172.932,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV7-4-1*02,IGKV1-39*01,1,1
Lomtegovimab,TheraSAbDab,2,Rework,1,6,30.17,30.167,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8878,47.0,172.429,0.046,0.284,8.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,0.0,,,IGHV3-30*18,IGKV1-5*03,1,1
Velinotamig_2,TheraSAbDab,1,Ready,0,4,22.28,22.277,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8163,48.0,184.085,0.028,0.095,8.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,0.0,,,IGHV1-3*01,IGKV1-39*01,1,1
Exbivirumab,TheraSAbDab,2,Rework,3,9,39.41,37.406,,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,0.8776,50.0,206.641,0.236,0.146,5.61,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,0.0,,,IGHV3-33*01,IGLV3-21*03,1,1
Gresonitamab,TheraSAbDab,4,Hold,0,0,51.51,51.511,,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,,,0.9796,52.0,187.292,0.145,0.0,28.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV1-2*02,IGKV1-12*01,1,1
Mibavademab,TheraSAbDab,2,Rework,1,6,30.44,30.437,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8673,47.0,155.709,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,3,0,0.0,,,IGHV3-30*15,IGKV1-39*01,1,1
Enuzovimab,TheraSAbDab,2,Rework,1,7,32.15,32.151,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.9588,45.0,178.437,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,0.0,,,IGHV3-53*01,IGKV1-12*01,1,1
Tixagevimab,TheraSAbDab,2,Rework,3,4,37.7,37.697,,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9796,52.0,176.016,0.0,0.047,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV1-58*01,IGKV3-20*01,1,1
Bosakitug,TheraSAbDab,2,Rework,2,5,31.42,29.421,,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,0.8878,44.0,130.691,0.0,1.449,2.0,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,0.0,,,IGHV1-46*01,IGKV1-39*01,1,1
Anzurstobart,TheraSAbDab,1,Ready,0,4,23.04,23.037,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9592,47.0,157.11,0.0,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV1-18*01,IGKV1-12*01,1,1
Simaravibart,TheraSAbDab,2,Rework,1,4,25.18,25.183,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0.9592,48.0,187.299,0.0,0.183,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV1-69*02,IGKV3-11*01,1,1
Rocatinlimab,TheraSAbDab,2,Rework,2,2,31.95,31.954,,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,,,0.93,44.0,166.553,1.141,0.0,5.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV2-5*02,IGKV3-20*01,1,1
Cudarolimab,TheraSAbDab,2,Rework,1,8,26.38,26.383,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,1.0,50.0,158.872,0.202,0.15,-3.6,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-30*03,IGKV1-33*01,1,1
Adakitug,TheraSAbDab,2,Rework,1,6,32.1,32.1,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9388,44.0,155.466,0.245,0.0,6.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV3-33*01,IGKV3-20*01,1,1
Ebrasodebart,TheraSAbDab,2,Rework,3,7,42.13,42.131,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9898,47.0,183.525,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV1-18*01,IGLV3-1*01,1,1
Adintrevimab,TheraSAbDab,2,Rework,2,7,29.5,27.497,,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,0.8969,57.0,191.458,0.0,1.132,1.1,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,2,0,0,0.0,,,IGHV3-21*08,IGLV1-40*01,1,1
Cizutamig,TheraSAbDab,2,Rework,1,5,24.8,24.798,,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,,,0.8469,48.0,151.077,0.0,1.327,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,2,1,0.0,,,IGHV1-3*01,IGKV1-33*01,1,1
Atenastobart,TheraSAbDab,1,Ready,0,6,28.0,27.996,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9175,53.0,188.21,0.0,0.055,0.6,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,0.0,,,IGHV3-21*08,IGLV2-8*01,1,1
Lupartumab,TheraSAbDab,2,Rework,1,6,34.74,34.742,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,0.9286,49.0,171.588,0.0,0.0,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-48*03,IGLV1-40*01,1,1
Invikafusp,TheraSAbDab,3,Immune risk,0,0,27.38,25.377,,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,,,0.7959,46.0,123.273,0.25,0.0,18.91,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,3,1,0,0.0,,,IGHV1-3*01,IGKV1-9*01,1,1
Lorigerlimab,TheraSAbDab,2,Rework,2,3,29.06,29.064,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.8163,50.0,185.59,0.01,1.188,-1.08,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,0.0,,,IGHV1-46*01,IGKV3-11*01,1,1
Timcevibart,TheraSAbDab,2,Rework,1,8,34.63,34.63,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.9691,44.0,166.368,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV3-66*01,IGKV1-9*01,1,1
Xaluritamig,TheraSAbDab,1,Ready,0,3,27.02,25.017,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,,0.8061,47.0,173.602,1.505,0.192,6.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,1,2,0,0.0,,,IGHV1-3*01,IGKV3-11*01,1,1
Narnatumab,TheraSAbDab,2,Rework,3,5,29.24,27.239,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,,,0.9592,49.0,180.699,1.313,0.0,10.5,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,1,0,0,0.0,,,IGHV3-7*01,IGKV3-11*01,1,1
Tepoditamab_2,TheraSAbDab,1,Ready,0,7,24.54,24.538,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.898,45.0,154.246,1.128,0.0,15.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,0.0,,,IGHV3-33*01,IGKV1-39*01,1,1
Crotedumab,TheraSAbDab,3,Immune risk,0,0,38.36,34.36,,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,,,0.9286,55.0,175.532,0.0,1.607,-7.6,AMBER,GREEN,GREEN,GREEN,AMBER,4.0,2,1,0,0.0,,,IGHV3-7*01,IGKV1-17*01,1,1
Verekitug,TheraSAbDab,1,Ready,0,6,22.98,22.979,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.898,45.0,146.451,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV3-23*01,IGKV1-16*02,1,1
Tabirafusp,TheraSAbDab,2,Rework,1,3,31.92,31.923,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.8061,45.0,161.824,0.0,1.234,-0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,0.0,,,IGHV3-23*03,IGKV1-39*01,1,1
Dargistotug,TheraSAbDab,2,Rework,2,2,29.11,29.108,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9898,48.0,177.561,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,0.0,,,IGHV7-4-1*02,IGKV1-9*01,1,1
Olinvacimab,TheraSAbDab,2,Rework,1,8,30.55,30.547,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.8469,49.0,195.004,0.045,0.252,-3.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,0,0.0,,,IGHV1-3*01,IGLV3-21*01,1,1
Rilvegostomig_2,TheraSAbDab,5,Out of range,0,0,31.53,29.528,,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,,,0.9694,52.0,204.908,0.052,0.0,6.2,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,3,0,0,0.0,,,IGHV3-30*01,IGLV1-44*01,1,1
Spevatamig,TheraSAbDab,2,Rework,1,2,26.85,24.846,,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,,,0.8673,41.0,141.207,0.0,1.238,-1.98,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,3,0,0,0.0,,,IGHV1-46*01,IGKV3-20*01,1,1
Donzakimig1,TheraSAbDab,2,Rework,1,5,34.76,34.764,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.8367,51.0,172.646,0.0,1.365,-1.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV3-23*04,IGKV1-9*03,1,1
Omectatug,TheraSAbDab,2,Rework,4,3,31.69,31.687,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8571,51.0,167.159,1.149,0.0,15.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV1-8*01,IGKV4-1*01,1,1
Necitumumab,TheraSAbDab,1,Ready,0,3,24.5,24.502,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0.9596,48.0,191.315,0.0,0.0,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV4-30-2*07,IGKV3-11*01,1,1
Etesevimab,TheraSAbDab,2,Rework,1,8,27.57,27.575,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.9691,48.0,172.373,0.0,0.479,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,2,0,0.0,,,IGHV3-66*01,IGKV1-39*01,1,1
Obertamig_2,TheraSAbDab,2,Rework,2,3,31.33,29.333,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0.9802,58.0,195.978,0.644,0.0,10.5,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,0,0,0,0,,,IGHV6-1*01,IGKV4-1*01,1,1
Tregalizumab,TheraSAbDab,4,Hold,0,0,48.04,46.038,,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,,,0.77,55.0,181.353,0.0,1.137,0.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,5,0,0,0.0,,,IGHV3-15*06,IGKV4-1*01,1,1
Inezetamab,TheraSAbDab,2,Rework,1,7,36.11,36.109,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.9388,52.0,148.717,0.051,0.0,9.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,0.0,,,IGHV3-23*01,IGLV2-14*01,1,1
Ciduvectamig_2,TheraSAbDab,2,Rework,1,2,29.08,27.076,,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,,,0.8713,51.0,201.664,0.729,0.0,16.4,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,3,0,0.0,,,IGHV6-1*01,IGLV2-23*02,1,1
Clervonafusp,TheraSAbDab,1,Ready,0,8,27.03,27.029,,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,,,0.898,47.0,180.133,1.12,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,1,0.0,,,IGHV3-48*01,IGKV1-39*01,1,1
Dezamizumab,TheraSAbDab,2,Rework,3,4,28.41,28.413,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8571,49.0,160.881,0.033,0.805,2.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,0.0,,,IGHV1-69*02,IGKV1-39*01,1,1
Batoclimab,TheraSAbDab,2,Rework,4,3,43.19,43.185,,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,,,0.9192,50.0,190.508,0.0,1.444,-4.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,0.0,,,IGHV4-39*02,IGLV3-21*02,1,1
Casdozokitug,TheraSAbDab,2,Rework,1,7,33.83,29.829,,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,,,0.9691,59.0,205.487,0.033,0.139,3.1,AMBER,AMBER,GREEN,GREEN,GREEN,4.0,0,0,0,0,,,IGHV3-21*08,IGKV4-1*01,1,1
Romlusevimab,TheraSAbDab,2,Rework,5,4,37.19,37.185,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0.949,48.0,197.053,0.005,0.138,0.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV7-4-1*02,IGLV3-21*01,1,1
Ispectamab,TheraSAbDab,2,Rework,2,5,29.4,29.399,,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.8247,49.0,184.302,0.106,0.064,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,0.0,,,IGHV3-66*01,IGKV1-39*01,1,1
Alacizumab,TheraSAbDab,1,Ready,0,7,24.75,24.753,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.9082,44.0,173.576,0.0,1.129,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,0.0,,,IGHV3-7*01,IGKV1-16*01,1,1
Opelkibart,TheraSAbDab,2,Rework,2,4,25.59,25.591,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,,,0.949,50.0,166.192,0.0,0.118,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,0.0,,,IGHV5-51*01,IGKV1-12*01,1,1
Adecatumumab,TheraSAbDab,2,Rework,3,8,37.5,37.499,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,0.9796,54.0,167.828,0.0,0.702,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,0.0,,,IGHV3-30*18,IGKV1-39*01,1,1
Gremubamab,TheraSAbDab,3,Immune risk,0,0,29.63,27.625,,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,,,0.9184,51.0,167.352,0.0,0.0,-4.5,GREEN,GREEN,GREEN,GREEN,AMBER,2.0,4,0,0,0.0,,,IGHV3-23*01,IGKV1-6*01,1,1
