candidate_id,pairing,verdict,total_score,tier1_score,error,tap_total,tap_hydrophobic,tap_positive,tap_negative,tap_sfvcsp,tap_flag_total,tap_flag_hydrophobic,tap_flag_positive,tap_flag_negative,tap_flag_sfvcsp,tap_weight,n_immuno_cdr,n_immuno_framework,n_immuno_observed,immuno_weight,n_predicted_binders,n_dropped_germline,vh_v_gene,vl_v_gene,structure_available,immunogenicity_available
Lumistobart,TheraSAbDab,GO,29.12,27.118,,51.0,191.611,0.069,0.063,6.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV4-31*02,IGKV4-1*01,1,1
Bulumtatug,TheraSAbDab,NO-GO,49.73,39.733,,52.0,176.55,0.105,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV4-4*08,IGKV4-1*01,1,1
Pamrevlumab,TheraSAbDab,NO-GO,43.18,41.185,,47.0,156.582,0.0,0.0,2.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV3-13*06,IGKV1D-16*01,1,1
Ansipastobart,TheraSAbDab,NO-GO,40.61,30.612,,48.0,187.097,0.058,0.057,3.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-23*01,IGLV1-44*01,1,1
Aldastotug,TheraSAbDab,CONDITIONAL,31.53,24.533,,47.0,158.375,0.0,0.424,2.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,0,7.0,,,IGHV5-10-1*01,IGKV3-20*01,1,1
Greziprubart,TheraSAbDab,GO,25.77,20.773,,51.0,179.174,0.111,0.061,1.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-72*01,IGKV2-28*01,1,1
Latikafusp,TheraSAbDab,NO-GO,41.68,22.677,,50.0,179.026,1.26,0.119,2.2,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,3,1,0,17.0,,,IGHV3-20*04,IGLV3-10*01,1,1
Umikibart,TheraSAbDab,CONDITIONAL,35.79,25.791,,44.0,189.87,0.157,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,1,10.0,,,IGHV3-23*04,IGKV1D-7-1*01,1,1
Omoprubart,TheraSAbDab,NO-GO,43.69,29.691,,49.0,156.557,0.007,0.132,0.32,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,2,0,14.0,,,IGHV1-2*02,IGKV1-33*01,1,1
Disitamab,TheraSAbDab,NO-GO,44.5,25.502,,40.0,153.047,0.171,0.0,3.72,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,3,1,0,17.0,,,IGHV1-69-2*01,IGKV1-12*01,1,1
Reflocibart,TheraSAbDab,NO-GO,45.37,28.371,,47.0,157.033,0.303,0.0,21.7,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,0,17.0,,,IGHV1-2*02,IGKV1-39*01,1,1
Cosibelimab,TheraSAbDab,CONDITIONAL,38.34,29.337,,51.0,135.321,0.325,0.0,-5.4,GREEN,AMBER,GREEN,GREEN,AMBER,4.0,1,0,0,5.0,,,IGHV1-69*01,IGLV6-57*03,1,1
Vilastobart,TheraSAbDab,CONDITIONAL,35.87,30.872,,45.0,160.629,0.0,0.464,-2.7,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV1-69*02,IGKV6-21*01,1,1
Emfizatamab1_2,TheraSAbDab,NO-GO,49.22,37.22,,48.0,187.837,0.292,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV5-51*01,IGKV1-13*02,1,1
Intetumumab,TheraSAbDab,CONDITIONAL,35.88,26.878,,47.0,160.644,0.04,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,2,0,9.0,,,IGHV3-30*01,IGKV3-11*01,1,1
Pamvatamig,TheraSAbDab,GO,25.76,20.762,,50.0,172.932,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV7-4-1*02,IGKV1-39*01,1,1
Lomtegovimab,TheraSAbDab,NO-GO,46.07,31.067,,47.0,172.429,0.046,0.284,8.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-30*18,IGKV1-5*03,1,1
Velinotamig_2,TheraSAbDab,CONDITIONAL,35.18,23.178,,48.0,184.085,0.028,0.095,8.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV1-3*01,IGKV1-39*01,1,1
Exbivirumab,TheraSAbDab,NO-GO,50.31,38.306,,50.0,206.641,0.236,0.146,5.61,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV3-33*01,IGLV3-21*03,1,1
Enuzovimab,TheraSAbDab,NO-GO,45.05,33.05,,45.0,178.437,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV3-53*01,IGKV1-12*01,1,1
Gresonitamab,TheraSAbDab,NO-GO,51.41,46.41,,52.0,187.292,0.145,0.0,28.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV1-2*02,IGKV1-12*01,1,1
Mibavademab,TheraSAbDab,NO-GO,42.34,31.337,,47.0,155.709,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,3,0,11.0,,,IGHV3-30*15,IGKV1-39*01,1,1
Tixagevimab,TheraSAbDab,NO-GO,42.6,37.597,,52.0,176.016,0.0,0.047,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV1-58*01,IGKV3-20*01,1,1
Bosakitug,TheraSAbDab,NO-GO,42.32,30.321,,44.0,130.691,0.0,1.449,2.0,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV1-46*01,IGKV1-39*01,1,1
Anzurstobart,TheraSAbDab,CONDITIONAL,33.94,23.937,,47.0,157.11,0.0,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV1-18*01,IGKV1-12*01,1,1
Simaravibart,TheraSAbDab,GO,26.08,26.084,,48.0,187.299,0.0,0.183,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV1-69*02,IGKV3-11*01,1,1
Rocatinlimab,TheraSAbDab,CONDITIONAL,36.85,31.854,,44.0,166.553,1.141,0.0,5.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV2-5*02,IGKV3-20*01,1,1
Cudarolimab,TheraSAbDab,CONDITIONAL,32.28,27.283,,50.0,158.872,0.202,0.15,-3.6,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-30*03,IGKV1-33*01,1,1
Adakitug,TheraSAbDab,NO-GO,42.0,32.0,,44.0,155.466,0.245,0.0,6.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-33*01,IGKV3-20*01,1,1
Ebrasodebart,TheraSAbDab,NO-GO,47.03,42.031,,47.0,183.525,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV1-18*01,IGLV3-1*01,1,1
Adintrevimab,TheraSAbDab,NO-GO,40.4,28.397,,57.0,191.458,0.0,1.132,1.1,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV3-21*08,IGLV1-40*01,1,1
Cizutamig,TheraSAbDab,CONDITIONAL,37.7,25.698,,48.0,151.077,0.0,1.327,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,2,1,12.0,,,IGHV1-3*01,IGKV1-33*01,1,1
Atenastobart,TheraSAbDab,NO-GO,48.9,28.896,,53.0,188.21,0.0,0.055,0.6,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,20.0,,,IGHV3-21*08,IGLV2-8*01,1,1
Lupartumab,TheraSAbDab,CONDITIONAL,39.64,34.642,,49.0,171.588,0.0,0.0,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-48*03,IGLV1-40*01,1,1
Invikafusp,TheraSAbDab,NO-GO,40.28,21.276,,46.0,123.273,0.25,0.0,18.91,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,3,1,0,17.0,,,IGHV1-3*01,IGKV1-9*01,1,1
Lorigerlimab,TheraSAbDab,NO-GO,41.96,29.963,,50.0,185.293,0.01,1.164,-1.08,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV1-46*01,IGKV3-11*01,1,1
Timcevibart,TheraSAbDab,NO-GO,40.53,35.531,,44.0,166.368,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV3-66*01,IGKV1-9*01,1,1
Narnatumab,TheraSAbDab,CONDITIONAL,35.14,28.139,,49.0,180.699,1.313,0.0,10.5,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,1,0,0,5.0,,,IGHV3-7*01,IGKV3-11*01,1,1
Xaluritamig,TheraSAbDab,CONDITIONAL,36.92,25.917,,47.0,173.602,1.505,0.192,6.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,1,2,0,9.0,,,IGHV1-3*01,IGKV3-11*01,1,1
Tepoditamab_2,TheraSAbDab,GO,27.44,25.439,,45.0,154.246,1.128,0.0,15.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV3-33*01,IGKV1-39*01,1,1
Crotedumab,TheraSAbDab,NO-GO,51.26,35.26,,55.0,175.532,0.0,1.607,-7.6,AMBER,GREEN,GREEN,GREEN,AMBER,4.0,2,1,0,12.0,,,IGHV3-7*01,IGKV1-17*01,1,1
Verekitug,TheraSAbDab,CONDITIONAL,33.88,23.879,,45.0,146.451,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-23*01,IGKV1-16*02,1,1
Tabirafusp,TheraSAbDab,NO-GO,47.82,32.823,,45.0,161.824,0.0,1.234,-0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-23*03,IGKV1-39*01,1,1
Dargistotug,TheraSAbDab,CONDITIONAL,35.01,30.008,,48.0,177.561,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV7-4-1*02,IGKV1-9*01,1,1
Olinvacimab,TheraSAbDab,NO-GO,48.45,31.447,,49.0,195.004,0.045,0.252,-3.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,0,17.0,,,IGHV1-3*01,IGLV3-21*01,1,1
Rilvegostomig_2,TheraSAbDab,NO-GO,47.43,30.428,,52.0,204.908,0.052,0.0,6.2,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,3,0,0,15.0,,,IGHV3-30*01,IGLV1-44*01,1,1
Spevatamig,TheraSAbDab,NO-GO,42.75,25.746,,41.0,141.951,0.0,1.238,-1.98,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,3,0,0,15.0,,,IGHV1-46*01,IGKV3-20*01,1,1
Omectatug,TheraSAbDab,NO-GO,42.59,32.587,,51.0,167.159,1.149,0.0,15.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV1-8*01,IGKV4-1*01,1,1
Donzakimig1,TheraSAbDab,NO-GO,45.66,35.664,,51.0,172.72,0.0,0.243,-1.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-23*04,IGKV1-9*03,1,1
Necitumumab,TheraSAbDab,GO,25.4,25.402,,48.0,191.315,0.0,0.0,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV4-30-2*07,IGKV3-11*01,1,1
Obertamig_2,TheraSAbDab,CONDITIONAL,32.23,30.233,,58.0,195.978,0.644,0.0,10.5,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,0,0,0,0,,,IGHV6-1*01,IGKV4-1*01,1,1
Etesevimab,TheraSAbDab,NO-GO,52.47,28.475,,48.0,172.373,0.0,0.479,3.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,2,0,24.0,,,IGHV3-66*01,IGKV1-39*01,1,1
Inezetamab,TheraSAbDab,NO-GO,57.01,37.008,,52.0,148.717,0.051,0.0,9.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,20.0,,,IGHV3-23*01,IGLV2-14*01,1,1
Tregalizumab,TheraSAbDab,NO-GO,65.94,38.939,,55.0,181.353,0.0,1.137,0.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,5,0,0,25.0,,,IGHV3-15*06,IGKV4-1*01,1,1
Ciduvectamig_2,TheraSAbDab,NO-GO,44.98,26.977,,51.0,202.603,0.729,0.0,16.4,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,3,0,16.0,,,IGHV6-1*01,IGLV2-23*02,1,1
Dezamizumab,TheraSAbDab,CONDITIONAL,39.31,29.312,,49.0,160.881,0.033,0.805,2.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV1-69*02,IGKV1-39*01,1,1
Clervonafusp,TheraSAbDab,NO-GO,47.93,27.929,,47.0,180.133,1.12,0.0,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,1,20.0,,,IGHV3-48*01,IGKV1-39*01,1,1
Batoclimab,TheraSAbDab,NO-GO,44.08,42.085,,50.0,190.508,0.0,1.444,-4.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV4-39*02,IGLV3-21*02,1,1
Casdozokitug,TheraSAbDab,CONDITIONAL,33.73,29.73,,59.0,205.487,0.033,0.139,3.1,AMBER,AMBER,GREEN,GREEN,GREEN,4.0,0,0,0,0,,,IGHV3-21*08,IGKV4-1*01,1,1
Ispectamab,TheraSAbDab,NO-GO,,25.299,,49.0,184.302,0.106,0.064,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,0,0,20.0,,,IGHV3-66*01,IGKV1-39*01,1,1
Romlusevimab,TheraSAbDab,CONDITIONAL,38.09,38.085,,48.0,197.053,0.005,0.138,0.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,0,0,0,,,IGHV7-4-1*02,IGLV3-21*01,1,1
Alacizumab,TheraSAbDab,CONDITIONAL,37.65,25.653,,44.0,173.576,0.0,1.129,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV3-7*01,IGKV1-16*01,1,1
Adecatumumab,TheraSAbDab,NO-GO,53.4,38.4,,54.0,167.828,0.0,0.702,2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-30*18,IGKV1-39*01,1,1
Opelkibart,TheraSAbDab,NO-GO,41.49,26.491,,50.0,166.192,0.0,0.118,12.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV5-51*01,IGKV1-12*01,1,1
Rilotumumab,TheraSAbDab,CONDITIONAL,34.26,29.258,,48.0,143.186,0.0,0.0,9.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV4-59*01,IGKV3-15*01,1,1
Gremubamab,TheraSAbDab,NO-GO,50.53,28.526,,51.0,167.352,0.0,0.0,-4.5,GREEN,GREEN,GREEN,GREEN,AMBER,2.0,4,0,0,20.0,,,IGHV3-23*01,IGKV1-6*01,1,1
Sotiburafusp,TheraSAbDab,NO-GO,43.21,36.211,,52.0,163.939,0.409,0.068,13.2,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,1,0,7.0,,,IGHV1-3*01,IGKV2-29*02,1,1
Bafisontamab_2,TheraSAbDab,NO-GO,51.1,44.098,,44.0,127.702,0.0,0.0,12.0,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,1,0,0,5.0,,,IGHV1-18*01,IGKV1-12*01,1,1
Aducanumab,TheraSAbDab,NO-GO,42.5,33.5,,51.0,163.632,3.039,0.0,27.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,1,1,0,7.0,,,IGHV3-33*01,IGKV1-39*01,1,1
Mozistobart,TheraSAbDab,NO-GO,42.18,27.181,,50.0,158.577,0.119,0.0,7.04,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-48*03,IGKV1-39*01,1,1
Demupitamab,TheraSAbDab,GO,30.53,28.533,,46.0,148.942,0.174,0.107,-3.6,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV4-61*01,IGKV1-33*01,1,1
Atidortoxumab,TheraSAbDab,GO,28.25,23.248,,46.0,168.407,0.0,0.0,12.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV4-38-2*01,IGKV1-12*01,1,1
Luvagrobart,TheraSAbDab,NO-GO,42.3,30.303,,48.0,152.043,0.027,0.159,6.4,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV4-38-2*02,IGKV1-39*01,1,1
Xirestomig,TheraSAbDab,CONDITIONAL,39.38,29.377,,53.0,168.33,0.041,0.055,6.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV1-69*04,IGLV2-14*01,1,1
Zanolimumab,TheraSAbDab,NO-GO,,32.037,,42.0,142.431,0.0,0.0,8.61,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,0,0,0,0,,,IGHV4-34*01,IGKV1-12*01,1,1
Ansuvimab,TheraSAbDab,NO-GO,55.15,33.151,,46.0,175.576,0.069,0.172,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,4,1,0,22.0,,,IGHV3-13*01,IGKV1-27*01,1,1
Pulocimab,TheraSAbDab,CONDITIONAL,32.16,23.159,,43.0,169.002,0.0,0.147,6.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,1,0,7.0,,,IGHV3-21*01,IGKV1-12*01,1,1
Pacanalotamab,TheraSAbDab,NO-GO,53.33,29.326,,48.0,135.15,0.016,0.079,0.22,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,4,1,0,22.0,,,IGHV1-46*01,IGKV1-33*01,1,1
Diridavumab,TheraSAbDab,GO,21.57,19.575,,53.0,152.749,1.451,0.051,12.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,0,0,0,0,,,IGHV1-69*01,IGLV1-51*01,1,1
Sabestomig_2,TheraSAbDab,CONDITIONAL,33.83,31.832,,51.0,180.482,1.417,0.149,0.0,GREEN,GREEN,AMBER,GREEN,GREEN,2.0,0,0,0,0,,,IGHV3-23*01,IGLV3-21*01,1,1
Danvilostomig_2,TheraSAbDab,NO-GO,52.09,37.091,,44.0,153.701,0.0,0.0,0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-23*04,IGKV1-27*01,1,1
Duvortuxizumab,TheraSAbDab,NO-GO,42.81,33.815,,46.0,157.932,0.0,0.0,4.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,2,0,9.0,,,IGHV2-5*08,IGKV3-11*01,1,1
Lunlekitug,TheraSAbDab,CONDITIONAL,34.46,32.463,,51.0,163.042,0.0,1.29,-3.8,GREEN,GREEN,GREEN,GREEN,GREEN,0,0,1,0,2.0,,,IGHV1-69*01,IGKV4-1*01,1,1
Zeripatamig_2,TheraSAbDab,NO-GO,42.13,32.133,,47.0,186.239,0.0,1.388,-0.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV3-23*01,IGLV6-57*01,1,1
Depemokimab,TheraSAbDab,CONDITIONAL,39.45,29.445,,52.0,183.87,0.01,0.0,6.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV2-70*19,IGKV4-1*01,1,1
Pasritamig_2,TheraSAbDab,CONDITIONAL,36.98,24.978,,43.0,157.786,0.0,0.0,8.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV3-21*01,IGKV1-39*01,1,1
Rosmantuzumab,TheraSAbDab,NO-GO,47.99,35.993,,48.0,166.914,0.0,1.25,-2.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV1-46*01,IGKV1-39*01,1,1
Imeroprubart,TheraSAbDab,NO-GO,46.54,37.537,,50.0,209.453,0.581,2.094,-0.8,GREEN,AMBER,GREEN,AMBER,GREEN,4.0,1,0,0,5.0,,,IGHV3-23*01,IGLV3-21*02,1,1
Safimestomig_2,TheraSAbDab,NO-GO,40.09,23.088,,46.0,135.388,0.622,0.0,9.3,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,3,0,0,15.0,,,IGHV1-69-2*01,IGKV1D-7-1*01,1,1
Lemzoparlimab,TheraSAbDab,CONDITIONAL,39.54,27.544,,51.0,187.888,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,1,0,12.0,,,IGHV3-15*07,IGKV4-1*01,1,1
Nebratamig2,TheraSAbDab,CONDITIONAL,37.3,30.305,,55.0,174.06,0.015,1.572,-0.0,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,1,0,0,5.0,,,IGHV3-23*03,IGKV1-27*01,1,1
Puxitatug,TheraSAbDab,NO-GO,,31.251,,44.0,133.772,0.0,0.0,12.3,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV4-34*01,IGKV1-17*01,1,1
Stapokibart,TheraSAbDab,NO-GO,44.3,27.303,,46.0,159.046,0.016,0.0,6.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,1,0,17.0,,,IGHV3-23*03,IGKV1-33*01,1,1
Gimistotug,TheraSAbDab,CONDITIONAL,37.43,22.428,,47.0,147.916,0.132,0.0,5.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV1-46*01,IGKV1-16*01,1,1
Eurestobart,TheraSAbDab,NO-GO,48.94,27.938,,49.0,149.741,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,3,0,21.0,,,IGHV1-3*01,IGKV3-11*01,1,1
Danburstotug,TheraSAbDab,CONDITIONAL,37.2,32.197,,50.0,197.665,1.129,0.148,0.1,GREEN,GREEN,GREEN,GREEN,GREEN,0,1,0,0,5.0,,,IGHV1-69*01,IGLV3-21*01,1,1
Zifibancimig,TheraSAbDab,NO-GO,54.48,30.479,,42.0,159.998,0.187,1.348,-0.1,AMBER,GREEN,GREEN,GREEN,GREEN,2.0,4,1,0,22.0,,,IGHV3-23*04,IGKV1-13*02,1,1
Cugrastomig,TheraSAbDab,NO-GO,41.46,29.464,,47.0,123.132,0.111,0.801,0.1,GREEN,AMBER,GREEN,GREEN,GREEN,2.0,2,0,0,10.0,,,IGHV4-34*01,IGKV3-11*01,1,1
Ralzapastotug,TheraSAbDab,CONDITIONAL,39.77,29.773,,48.0,157.053,0.007,0.0,12.3,GREEN,GREEN,GREEN,GREEN,GREEN,0,2,0,0,10.0,,,IGHV4-4*02,IGKV3-15*01,1,1
Emfizatamab1,TheraSAbDab,NO-GO,49.74,34.736,,52.0,174.389,0.0,0.0,6.0,GREEN,GREEN,GREEN,GREEN,GREEN,0,3,0,0,15.0,,,IGHV3-66*01,IGKV1-5*01,1,1
